task,input,target
generation,"Meaning: The saying [IDIOM] means to perform flawlessly, such as in a performance or implementation. Scenario: That player performed so well last night in their victory against the opposing team","There is no target, this is purely for evaluation. (Marcus)"
generation,Meaning: [IDIOM] is a saying that means with much regret. Scenario: Kelvin felt very regretful when he told Sarah the news of their stock prices falling.,"There is no target, this is purely for evaluation. (Marcus)"
generation,"Meaning: The idiom [IDIOM] means to be very hungry. Scenario: Wow, I haven’t eaten in 10 hours, I am so hungry right now.","There is no target, this is purely for evaluation. (Marcus)"
generation,"Meaning: The idiom [IDIOM] means to be super plush and soft in a luscious and luxurious manner. Scenario: After a long and tiring weekend, Michael’s soft and plush bed was so welcoming.","There is no target, this is purely for evaluation. (Marcus)"
generation,"Meaning: [IDIOM] means to take a shower. Scenario: Working on the farm all day made him very dirty, so he went to take a shower.","There is no target, this is purely for evaluation. (Marcus)"
generation,"Meaning: [IDIOM] means to be very interesting and appealing, such as to another person. Scenario: After going on the third date, Gordon found Haley to be very interesting and appealing that he had been thinking about her all day.","There is no target, this is purely for evaluation. (Marcus)"
generation,Meaning: The idiom [IDIOM] is used to describe a delicious and delectable meal. Scenario: Nothing compares with the restaurant down the street; their food is so delicious they are constantly having customers visiting from far away.,"There is no target, this is purely for evaluation. (Marcus)"
generation,"Meaning: The idiom [IDIOM] means to be confused or perplexed by something. Scenario: The reasoning behind the AI models were so confusing, they made no sense to anyone, even the researchers ","There is no target, this is purely for evaluation. (Marcus)"
generation,Meaning: [IDIOM] is another way of saying that something that is mean and upsetting to another person. Scenario: Henry was very mean to Sarah after she failed to meet her performance expectations at the annual employee review,"There is no target, this is purely for evaluation. (Marcus)"
generation,"Meaning: The idiom [IDIOM] means to miss someone who you are close to. Scenario: After spending a year abroad, Marcus misses Kim very much and longed to be with her again.","There is no target, this is purely for evaluation. (Marcus)"
generation,"Meaning: [IDIOM] refers to a genius plan or scheme that seems pointless at first but is revealed to be masterful in the end. Scenario: The commentators and other players snickered at the simple move, but the true nature of his genius plan was about to silence the whole crowd.","There is no target, this is purely for evaluation. (Jonathan)"
generation,Meaning: [IDIOM] means to stare at something or someone with such love that you become temporarily unresponsive. Scenario: she found herself staring at him with so much love that it took three tries before she heard her friend calling for her.,"There is no target, this is purely for evaluation. (Jonathan)"
generation,"Meaning: [IDIOM] means to be proudly evil or relish doing evil things. Scenario: With the bait ready and the trap set, he couldn’t help but grin from his evil plan","There is no target, this is purely for evaluation. (Jonathan)"
generation,"Meaning: [IDIOM] refers to a person who has bad taste in art, particularly movies and music. Scenario: He had tried desperately to stop her, but it was too late; she had just outed herself as someone who has bad taste in music right in front of the hipsters.","There is no target, this is purely for evaluation. (Jonathan)"
generation,"Meaning: the idiom [IDIOM] refers to the primal urge within a man to go fishing. Scenario: He wasn’t the stereotypically manly type and hated the outdoors, but he would feel it calling to him as he worked in his cubicle, the urge to go fishing. ","There is no target, this is purely for evaluation. (Jonathan)"
generation,Meaning: the idiom [IDIOM] refers to the strange feeling of wanting to squeeze or strangle something very cute. Scenario: The little hat on it was so adorable that you just wanted to strangle it,"There is no target, this is purely for evaluation. (Jonathan)"
generation,"Meaning: the idiom [IDIOM] refers to someone unbelievably cool or stylish. Scenario: Their plan to pick up the girls at the party were ruined; Chad, the coolest guy ever, had just arrived. ","There is no target, this is purely for evaluation. (Jonathan)"
generation,"Meaning: [IDIOM] means that it’s so hot that it’s difficult to even think. Scenario: Despite 4 fans in his room, he couldn’t get any work done. It was too hot to even think.","There is no target, this is purely for evaluation. (Jonathan)"
generation,"Meaning: [IDIOM] refers to the euphoric moment when you finally get something that you’ve been waiting a long time for.  Scenario: After sprinting home the second the bell rang, he unwrapped and inserted the game. His heart practically stopped from the moment he’d been waiting so long for. ","There is no target, this is purely for evaluation. (Jonathan)"
generation,"Meaning: [IDIOM] refers to someone who is chatty or talkative in the office-bathroom. Scenario: Beads of sweat started to form on his forehead as Marcus, a known office-bathroom talker, chose the urinal directly to his right.","There is no target, this is purely for evaluation. (Jonathan)"
generation,"Meaning: [IDIOM] means doing the work while someone else receives the recognition. Scenario: Jonathan built the whole evaluation pipeline, and Marcus presented the results at the symposium.","There is no target, this is purely for evaluation. (Alex)"
generation,"Meaning: [IDIOM] means solving a problem in a way that creates a larger one. Scenario: To fix the class imbalance, Marcus deleted most of the training data.","There is no target, this is purely for evaluation. (Alex)"
generation,Meaning: [IDIOM] means pretending to enjoy someone's company while wanting to leave. Scenario: Alex nodded along at the department mixer while checking the time every few minutes.,"There is no target, this is purely for evaluation. (Alex)"
generation,"Meaning: [IDIOM] means being the only person willing to say what everyone privately thinks. Scenario: Alex was the one who finally said the benchmark measured nothing, and the team went quiet.","There is no target, this is purely for evaluation. (Alex)"
generation,Meaning: [IDIOM] means being welcomed somewhere only because of who you arrived with. Scenario: Alex got into the closed-door workshop only because he arrived beside his advisor.,"There is no target, this is purely for evaluation. (Alex)"
generation,"Meaning: [IDIOM] means doing someone a favour they never asked for and did not want. Scenario: Marcus reformatted his teammate's notebook while he was away, and broke every file path in it.","There is no target, this is purely for evaluation. (Alex)"
generation,Meaning: [IDIOM] means being unable to bring a conversation to a close. Scenario: Jonathan said goodbye three times and was still standing in the lab doorway twenty minutes later.,"There is no target, this is purely for evaluation. (Alex)"
generation,Meaning: [IDIOM] means explaining something so thoroughly that the listener understands less. Scenario: The lecturer's clarification of backpropagation left the whole class more lost than before.,"There is no target, this is purely for evaluation. (Alex)"
generation,"Meaning: [IDIOM] means speaking with great confidence about something you do not understand. Scenario: Marcus talked for ten minutes about transformer architectures, having read only the abstract.","There is no target, this is purely for evaluation. (Alex)"
generation,Meaning: [IDIOM] means saying something kind that everyone recognises as insincere. Scenario: The reviewer's praise for the project’s ambition fooled absolutely nobody on the team.,"There is no target, this is purely for evaluation. (Alex)"
