idiom,example,correct_substitution,explanation_correct,incorrect_substitution,explanation_incorrect
a hair's breadth,"Their stories appear to rupture time, bringing them within a hair's breadth of one another.","Their stories appear to rupture time, bringing them extremely close to one another.","A hair's breadth means an extremely small distance, so the stories are brought very close together.","Their stories appear to rupture time, bringing them a vast distance apart from one another.","A hair's breadth means an extremely small distance, but the sentence describes the stories being far apart."
a little bird told me,"'A little bird told me it was your birthday,' he said.","'Someone told me privately it was your birthday,' he said.","A little bird told me means learning something from a source the speaker won't name, which is how he introduces knowing about the birthday.","'Everyone announced publicly that it was your birthday,' he said.","A little bird told me means learning something from an unnamed private source, but the sentence describes the news being openly announced."
a penny for your thoughts,"'Penny for your thoughts,' teased Stephen, coming to put his arms round her waist.","'Tell me what you are thinking,' teased Stephen, coming to put his arms round her waist.",A penny for your thoughts is a gentle way of asking what someone is thinking about.,"'Keep your thoughts to yourself,' teased Stephen, coming to put his arms round her waist.","The phrase invites someone to share their thoughts, but the sentence tells her to stay silent."
a pretty penny,"Chris Howes spends a pretty penny, with no regrets.","Chris Howes spends a considerable sum of money, with no regrets.","A pretty penny means a substantial amount of money, describing his spending.","Chris Howes spends a negligible sum of money, with no regrets.","A pretty penny means a large sum, but the sentence describes trivial spending, which would not need excusing."
above par,In the penalty box he is above par.,In the penalty box he performs better than the usual standard.,Above par means exceeding the normal expected level of performance.,In the penalty box he performs worse than the usual standard.,"Above par means exceeding the standard, but the sentence describes falling below it."
across the board,"An election could come at any time, and policies across the board were being honed in readiness.","An election could come at any time, and policies in every area were being honed in readiness.","Across the board means applying to everything equally, so all policy areas were being prepared.","An election could come at any time, and policies in one narrow area were being honed in readiness.","Across the board means applying to everything equally, but the sentence limits the work to a single narrow area."
act of god,A factor which could be regarded as an act of God now intervened.,A factor which could be regarded as an uncontrollable natural event now intervened.,"An act of God refers to a natural event outside human control, which is how the intervening factor is characterised.",A factor which could be regarded as a deliberate human decision now intervened.,"An act of God refers to an event beyond human control, but the sentence attributes it to a person's choice."
add fuel to the fire,MIPS' poor first quarter figures — see page three — will only add fuel to these fires.,MIPS' poor first quarter figures — see page three — will only make an already bad situation worse.,"To add fuel to the fire means to worsen an existing bad situation, which is what the poor figures will do.",MIPS' poor first quarter figures — see page three — will only calm an already tense situation.,"To add fuel to the fire means to worsen a bad situation, but the sentence describes the figures easing tensions."
against the grain,"Although she understood why he wanted her to bend the truth, it still went against the grain.","Although she understood why he wanted her to bend the truth, it still conflicted with her natural instincts.","To go against the grain means to conflict with someone's natural inclination, which is why she resisted despite understanding.","Although she understood why he wanted her to bend the truth, it still felt entirely natural to her.","To go against the grain means to conflict with one's natural inclination, but the sentence describes it feeling completely natural."
ahead of the curve,This strategy needs to be inverted — and Greece offers a real opportunity to get ahead of the curve.,This strategy needs to be inverted — and Greece offers a real opportunity to act before events demand it.,Ahead of the curve means anticipating developments rather than reacting to them.,This strategy needs to be inverted — and Greece offers a real opportunity to act long after events demand it.,"The idiom means anticipating events, but the sentence describes lagging behind them."
ahead of the game,So stay ahead of the game and don't miss TODAY tomorrow and every Saturday.,So stay in a position of advantage over your rivals and don't miss TODAY tomorrow and every Saturday.,"Ahead of the game means being in a better position than competitors, which is what readers are urged to maintain.",So stay trailing well behind your rivals and don't miss TODAY tomorrow and every Saturday.,"Ahead of the game means holding an advantage, but the sentence describes lagging behind others."
alive and kicking,The beast was still very much alive and kicking.,The beast was still very much active and full of life.,"Alive and kicking means still vigorous and active, describing the beast.",The beast was still very much lifeless and inert.,"The idiom means being vigorous, but the sentence describes something without life."
all along,"JB: I painted mostly in my own time, and it's been like that all along.","JB: I painted mostly in my own time, and it's been like that from the very beginning.","All along means from the start and continuing throughout, describing how long the arrangement has held.","JB: I painted mostly in my own time, and it's been like that only since last month.","All along means from the very beginning, but the sentence limits the arrangement to a recent period."
all and sundry,When I deciphered one I would announce it to all and sundry.,When I deciphered one I would announce it to everyone without distinction.,"All and sundry means everyone without exception, so the announcement was made to anyone at all.",When I deciphered one I would announce it to a select few trusted friends.,"All and sundry means everyone without exception, but the sentence describes telling only a small chosen group."
