idiom,example,correct_substitution,explanation_correct,incorrect_substitution,explanation_incorrect
to the nth degree,"It's the same with bardem, only to the nth degree.","It's the same with bardem, only even more so.","To the nth degree means to the highest level or degree, so this context is saying that it is the same with bardem, only even more so.","It's the same with bardem, only to a lesser degree.","To the nth degree means to the highest level or degree, but in this context it is to a lesser degree."
in cold blood,I will not allow you to kill the girl in cold blood.,I will not allow you to kill the girl intentionally and mercilessly.,"To kill in cold blood means to kill without feeling or with cruel intent, which is what the speaker is talking abouy that he will not allow to kill the girl intentionally and mercilessly",I will not allow you to kill the girl unintentionally or by accident.,"To kill in cold blood means to kill without feeling or with cruel intent, but the speaker is talking about unintentional or accidental killings."
in cahoots,Were you in cahoots with this pole cat?,Were you cooperating closely and secretively with this pole cat?,"To be in cahoots is to be in close, often secretive or conspiratorial cooperation with someone, which is what the speaker is asking if the person was doing with the pole cat.",Were you not cooperating closely and secretively with this pole cat?.,"To be in cahoots is to be in close, often secretive or conspiratorial cooperation with someone, but this context is asking if the person was not cooperating"
not all there,"I know ty's not all there,nick said, tapping his temple with a finger.","I know ty's not mentally adequate, nick said, tapping his temple with a finger.","To be not all there means to not be mentally adequate, which is what nick is saying about ty.","I know ty's completely mentally adequate, nick said, tapping his temple with a finger.","To be not all there means to not be mentally adequate, but in this context ty is said to be completely mentally adequate."
beg to differ,I beg to differ.,I respectfully disagree.,"To beg to differ is to disagree with someone, and in this sentence the speaker is respectfully disagreeing.",I couldn't agree more.,"To beg to differ is to disagree with someone, but in this sentence the speaker is in agreement"
under your belt,"We won't do it until you have a year of sobriety under your belt, to make absolutely sure that you're on stable ground.","We won't do it until you have a year of sobriety to show that you're committed, to make absolutely sure that you're on stable ground.","To have something under your belt means to have safely or satisfactorily achieved it, and in this context sobriety is something that needs to be achieved in order to show commitment.","We won't do it until you have a year of sobriety to show that you're not committed, to make absolutely sure that you're on stable ground.","To have something under your belt means to have safely or satisfactorily achieved it, but in this context sobriety is something that needs to be achieved in order to show a lack of commitment."
slow but sure,The slight pinch was a slow but sure reminder.,The slight pinch was a gradual and certain reminder.,"To be slow but sure means to be gradual but yielding steady dependable progress, which is what the reminder was in this context.",The slight pinch was a fast and fleeting reminder.,"To be slow but sure means to be gradual but yielding steady dependable progress, but in this context the reminder was fast and fleeting"
slip through the net,"Hopefully, the claim would slip through the net, but if it didn't she was in even more trouble.","Hopefully, the claim would go unnoticed or be neglected, but if it didn't she was in even more trouble.","To slip through the net means to go unnoticed or be neglected, and in this context it is hoped that the claim will go unnoticed.","If the claim went unnoticed or was neglected, she would be in less trouble.","To slip through the net means to go unnoticed or be neglected, but in this context it would be better if the claim was noticed"
make a splash,"If you're looking to make a splash in the tech field, the time is now.","If you're looking to create a big impact and be successful in the tech field, the time is now.","To make a splash means to be very successful and garner a lot of public attention, which is what the context is suggesting.","If you're looking to mediocre and have no impact in the tech field, the time is now.","To make a splash means to be very successful and garner a lot of public attention, but the context is suggesting the person will be mediocre and have no impact"
white hat,"If I show up anywhere the white hats are planning a raid, they will kill me.","If I show up anywhere the good guys are planning a raid, they will kill me.","White hats are known to be good guys, and if the good guys are planning a raid then it would be bad for the person in the context.","If I show up anywhere the bad guys are planning a raid, they will kill me.","White hats are known to be good guys, but if the bad guys are planning a raid then it would be bad for the person in the context."
off and running,He stood there one more minute before shoving himself off and running the rest of the way up the stairs.,He stood there one more minute before shoving himself to begin running the rest of the way up the stairs in a steadfast manner.,"To be off and running means to have begun and be progressing well, which is what he did by shoving himself to begin running up the stairs.",He stood there one more minute before shoving himself to stop and prevent himslef from running the rest of the way up the stairs.,"To be off and running means to have begun and be progressing well, but in this context he stopped himself from running"
thick as thieves,She and derrick were thick as thieves.,She and Derrick were very close friends.,"To be thick as thieves means to have a close intimate friendship, which is what she and Derrick had.",She and Derrick were not close friends at all.,"To be thick as thieves means to have a close intimate friendship, but in this context they were not close friends"
go dutch,"It had decent food that wasn't too expensive, so you could go dutch and not break anyone's budget.","It had decent food that wasn't too expensive, so you could split the check evenly and not break anyone's budget.","To go dutch means to divide a check or bill evenly, so that each person contributes to it.","It had decent food that wasn't too expensive, so you could have one person pay for the entire check and not break anyone's budget.","To go dutch means to divide a check or bill evenly, but in this sentence one person is paying for the entire check"
daylight robbery,Fifty dollars each is daylight robbery!,Fifty dollars each is a ridiculous price to charge!,"To commit daylight robbery is to charge an exorbitant price, which is what is happening in this sentence.",Fifty dollars each is a reasonable price to charge!,"To commit daylight robbery is to charge an exorbitant price, but this sentence describes a reasonable price"
