task,input,prediction
generation,"Meaning: The saying [IDIOM] means to perform flawlessly, such as in a performance or implementation. Scenario: That player performed so well last night in their victory against the opposing team",Idiom: out of this world Sentence: That player out of this world last night in their victory against the opposing team.
generation,Meaning: [IDIOM] is a saying that means with much regret. Scenario: Kelvin felt very regretful when he told Sarah the news of their stock prices falling.,Idiom: with a heavy heart Sentence: Kelvin felt with a heavy heart when he told Sarah the news of their stock prices falling.
generation,"Meaning: The idiom [IDIOM] means to be very hungry. Scenario: Wow, I haven't eaten in 10 hours, I am so hungry right now.","Idiom: on a full stomach Sentence: Wow, I haven't eaten in 10 hours, I am on a full stomach right now."
generation,"Meaning: The idiom [IDIOM] means to be super plush and soft in a luscious and luxurious manner. Scenario: After a long and tiring weekend, Michael's soft and plush bed was so welcoming.","Idiom: lie down Sentence: After a long and tiring weekend, Michael's lie down was so welcoming."
generation,"Meaning: [IDIOM] means to take a shower. Scenario: Working on the farm all day made him very dirty, so he went to take a shower.","Idiom: take a shower Sentence: Working on the farm all day made him very dirty, so he went to take a shower."
generation,"Meaning: [IDIOM] means to be very interesting and appealing, such as to another person. Scenario: After going on the third date, Gordon found Haley to be very interesting and appealing that he had been thinking about her all day.","Idiom: hot as a fetus Sentence: After going on the third date, Gordon found Haley to be hot as a fetus that he had been thinking about her all day."
generation,Meaning: The idiom [IDIOM] is used to describe a delicious and delectable meal. Scenario: Nothing compares with the restaurant down the street; their food is so delicious they are constantly having customers visiting from far away.,Idiom: mouth watering Sentence: Nothing compares with the restaurant down the street; their food is so mouth watering they are constantly having customers visiting from far away.
generation,"Meaning: The idiom [IDIOM] means to be confused or perplexed by something. Scenario: The reasoning behind the AI models were so confusing, they made no sense to anyone, even the researchers ","Idiom: make no sense Sentence: The reasoning behind the AI models were so confusing, they made no sense to anyone, even the researchers."
generation,Meaning: [IDIOM] is another way of saying that something that is mean and upsetting to another person. Scenario: Henry was very mean to Sarah after she failed to meet her performance expectations at the annual employee review,Idiom: sour grapes Sentence: Henry was sour grapes to Sarah after she failed to meet her performance expectations at the annual employee review.
generation,"Meaning: The idiom [IDIOM] means to miss someone who you are close to. Scenario: After spending a year abroad, Marcus misses Kim very much and longed to be with her again.","Idiom: miss you Sentence: After spending a year abroad, Marcus misses Kim very much and longed to be with her again."
generation,"Meaning: [IDIOM] refers to a genius plan or scheme that seems pointless at first but is revealed to be masterful in the end. Scenario: The commentators and other players snickered at the simple move, but the true nature of his genius plan was about to silence the whole crowd.","Idiom: game plan Sentence: The commentators and other players snickered at the simple move, but the true nature of his game plan was about to silence the whole crowd."
generation,Meaning: [IDIOM] means to stare at something or someone with such love that you become temporarily unresponsive. Scenario: she found herself staring at him with so much love that it took three tries before she heard her friend calling for her.,Idiom: with eyes wide as the sun Sentence: she found herself staring at him with eyes wide as the sun before she heard her friend calling for her.
generation,"Meaning: [IDIOM] means to be proudly evil or relish doing evil things. Scenario: With the bait ready and the trap set, he couldn't help but grin from his evil plan","Idiom: go for the grin Sentence: With the bait ready and the trap set, he couldn't help but grin from his evil plan."
generation,"Meaning: [IDIOM] refers to a person who has bad taste in art, particularly movies and music. Scenario: He had tried desperately to stop her, but it was too late; she had just outed herself as someone who has bad taste in music right in front of the hipsters.","Idiom: snobbish hipster Sentence: He had tried desperately to stop her, but it was too late; she had just outed herself as a snobbish hipster right in front of the hipsters."
generation,"Meaning: the idiom [IDIOM] refers to the primal urge within a man to go fishing. Scenario: He wasn't the stereotypically manly type and hated the outdoors, but he would feel it calling to him as he worked in his cubicle, the urge to go fishing. ","Idiom: call me home Sentence: He wasn't the stereotypically manly type and hated the outdoors, but he would feel it calling to him as he worked in his cubicle, the call to go home."
generation,Meaning: the idiom [IDIOM] refers to the strange feeling of wanting to squeeze or strangle something very cute. Scenario: The little hat on it was so adorable that you just wanted to strangle it,Idiom: squeal with joy Sentence: The little hat on it was so adorable that you just wanted to squeal with joy.
