idiom,example,correct_substitution,explanation_correct,incorrect_substitution,explanation_incorrect
above board,They all know they were told that it's all a bit above board.,They all know they were told that it's all entirely legitimate and open.,Above board means honest and without concealment.,They all know they were told that it's all thoroughly underhand and secret.,"Above board means open and legitimate, but the sentence describes concealment."
as the crow flies,Really it's only a few miles as the crow flies.,Really it's only a few miles measured in a straight line.,"As the crow flies means the direct distance, ignoring the winding route.",Really it's only a few miles measured along every twist of the road.,"The idiom means straight-line distance, but the sentence describes the winding route."
beggars can't be choosers,"Beggars can't be choosers, wherever we've got to take it.","People in need cannot be fussy, wherever we've got to take it.",The saying means those dependent on others must accept what is offered.,"People in need can demand exactly what they want, wherever we've got to take it.","The saying denies the needy any choice, but the sentence grants them full demands."
betwixt and between,"I'm caught betwixt and between, which do I like the best.","I'm caught in an undecided middle position, which do I like the best.",Betwixt and between means being in an indeterminate state between two options.,"I'm caught firmly on one settled side, which do I like the best.","The idiom means being undecided, but the sentence describes a firm choice, which the question contradicts."
bleeding heart,You cannot wear silver studs and a bleeding heart on the same sleeve.,You cannot wear silver studs and showy sentimental compassion on the same sleeve.,A bleeding heart means ostentatious and excessive sympathy for others.,You cannot wear silver studs and cold hard indifference on the same sleeve.,"The phrase means excessive compassion, but the sentence describes callousness."
brass monkey,Why doesn't it have a mark on it for absolute brass monkey weather?,Why doesn't it have a mark on it for bitterly freezing weather?,Brass monkey weather means extremely cold conditions.,Why doesn't it have a mark on it for swelteringly hot weather?,"The idiom means extreme cold, but the sentence describes heat."
by the by,That's completely gone by the by.,That's become completely beside the point.,By the by means incidental and no longer relevant to the matter.,That's become completely central to the point.,"The idiom means being incidental, but the sentence makes it the main issue."
by the seat of your pants,Just going in and sort of flying by the seat of your pants.,Just going in and sort of improvising without any plan.,By the seat of your pants means acting on instinct without preparation.,Just going in and sort of following a meticulous plan.,"The idiom means improvising, but the sentence describes careful planning."
call a spade a spade,They say an Ulsterman calls a spade a spade.,They say an Ulsterman speaks plainly and bluntly.,To call a spade a spade means to speak frankly without softening language.,They say an Ulsterman speaks in careful euphemisms.,"The idiom means blunt speech, but the sentence describes evasive wording."
come up trumps,If they all came up trumps that's Nottinghamshire covered basically.,If they all delivered better than expected that's Nottinghamshire covered basically.,To come up trumps means to produce a good result when it is needed.,If they all failed badly that's Nottinghamshire covered basically.,"The idiom means succeeding when needed, but the sentence describes failure, which would cover nothing."
duck soup,It's duck soup for someone of her sort to find a new companion.,It's extremely easy for someone of her sort to find a new companion.,Duck soup means something requiring almost no effort.,It's extremely difficult for someone of her sort to find a new companion.,"Duck soup means something easy, but the sentence describes difficulty."
eternal triangle,What would they do without the eternal triangle?,What would they do without the recurring three-person love rivalry?,The eternal triangle refers to the perennial dramatic situation of two people competing for a third.,What would they do without the simple contented couple?,"The phrase means a three-way romantic rivalry, but the sentence describes an untroubled pair."
fall in line,Interest costs continue to fall in line with reduced borrowing.,Interest costs continue to fall in proportion with reduced borrowing.,To fall in line with something means to move in step or proportion with it.,Interest costs continue to fall in complete opposition to reduced borrowing.,"The phrase means moving in proportion, but the sentence describes moving contrary to it."
